uid;source;target;weight;timestamp
221;DELETE,/lobcder/dav/testResourceId/movetest;DELETE,/lobcder/dav/testResourceId;8;2014-01-14 14:12:17
222;DELETE,/lobcder/dav/testResourceId;PUT,/lobcder/dav/iflocktest;7;2014-01-14 14:12:17
223;PUT,/lobcder/dav/iflocktest;PUT,/lobcder/dav/iflocktest;79;2014-01-14 14:12:19
224;PUT,/lobcder/dav/iflocktest;LOCK,/lobcder/dav/iflocktest;8;2014-01-14 14:12:18
225;LOCK,/lobcder/dav/iflocktest;LOCK,/lobcder/dav/iflocktest;8;2014-01-14 14:12:18
226;LOCK,/lobcder/dav/iflocktest;PUT,/lobcder/dav/iflocktest;8;2014-01-14 14:12:18
227;PUT,/lobcder/dav/iflocktest;UNLOCK,/lobcder/dav/iflocktest;8;2014-01-14 14:12:19
228;UNLOCK,/lobcder/dav/iflocktest;UNLOCK,/lobcder/dav/iflocktest;8;2014-01-14 14:12:19
229;UNLOCK,/lobcder/dav/iflocktest;DELETE,/lobcder/dav/iflocktest;8;2014-01-14 14:12:19
230;DELETE,/lobcder/dav/iflocktest;DELETE,/lobcder/dav/iflocktest;8;2014-01-14 14:12:19
231;DELETE,/lobcder/dav/iflocktest;MKCOL,/lobcder/dav/testPropfindInclude;8;2014-01-14 14:12:19
232;MKCOL,/lobcder/dav/testPropfindInclude;MKCOL,/lobcder/dav/testPropfindInclude;8;2014-01-14 14:12:19
233;MKCOL,/lobcder/dav/testPropfindInclude;PUT,/lobcder/dav/testPropfindInclude/iftest;8;2014-01-14 14:12:19
234;PUT,/lobcder/dav/testPropfindInclude/iftest;PUT,/lobcder/dav/testPropfindInclude/iftest;8;2014-01-14 14:12:19
235;PUT,/lobcder/dav/testPropfindInclude/iftest;PROPFIND,/lobcder/dav/testPropfindInclude/iftest;8;2014-01-14 14:12:19
236;PROPFIND,/lobcder/dav/testPropfindInclude/iftest;PROPFIND,/lobcder/dav/testPropfindInclude/iftest;8;2014-01-14 14:12:19
237;PROPFIND,/lobcder/dav/testPropfindInclude/iftest;DELETE,/lobcder/dav/testPropfindInclude;8;2014-01-14 14:12:19
238;DELETE,/lobcder/dav/testPropfindInclude;DELETE,/lobcder/dav/testPropfindInclude;8;2014-01-14 14:12:20
239;DELETE,/lobcder/dav/testPropfindInclude;DELETE,/lobcder/dav/testResourceId;8;2014-01-14 14:12:20
240;PUT,/lobcder/dav/testResourceId/file1;PUT,/lobcder/dav/testResourceId/file2;32;2014-01-14 14:12:20
241;PUT,/lobcder/dav/testResourceId/file2;PUT,/lobcder/dav/testResourceId/file2;32;2014-01-14 14:12:20
242;PUT,/lobcder/dav/testResourceId/file2;PUT,/lobcder/dav/testResourceId/file3;32;2014-01-14 14:12:20
243;PUT,/lobcder/dav/testResourceId/file3;PUT,/lobcder/dav/testResourceId/file3;32;2014-01-14 14:12:20
244;PUT,/lobcder/dav/testResourceId/file3;MKCOL,/lobcder/dav/testResourceId/folder4;32;2014-01-14 14:12:20
